new	Notes	NotesLink	Exercise	ExerciseLink	Reading	Ass	AssLink	AssDue
x	Introduction to Data and Python Tools		Loading and graphing data		MML chapter 2 through 2.2.3, skipping 2.1	MML 2.4 (pts 1,2 by hand, pts 3-5 in Python)		1 15
								
x	Mathematical Foundations: Linear Algebra							
x	Understanding Your Data: Rank/Basis/SVD/Eigenvectors							
x	Understanding Your Data: Rank/Basis/SVD/Eigenvectors							
x	Understanding Your Data: Rank/Basis/SVD/Eigenvectors							
x	Unsupervised Learning/PCA							
x	Unsupervised Learning/PCA							
x	Unsupervised Learning/Clustering							
x	Unsupervised Learning/Matrix Completion							
x	Unsupervised Learning/Matrix Completion							
x	Classification/Perceptron							
